creator,niche_note,halted_at,passed,topics_returned,best_segmentability,chosen_topic,questions,archetypes,structural_errors,knowledge_score,quiz_score,swap_divergence,weighted_score,dim_specificity,dim_actionability,dim_mechanism,dim_voice_match,dim_claims_safety,seconds,error
sleep_toddler,"control — close to PawCraft in structure, should score well",,true,1,8,The 30-Day thegentlesleepcoach Reset,6,4,0,8,7,63,7.9,7.4,7.9,8.2,8.1,9.2,0,
adhd_focus,"high segmentability, mental-health adjacent — tests tier escalation",,true,1,8,The 30-Day adhd.unmasked Reset,6,4,0,8,7,63,7.9,7.4,7.9,8.2,8.1,9.2,0,
sourdough,low segmentability trap — the pipeline SHOULD reject most topics here,no_viable_topic,,0,0,,,,,,,,,,,,,,0,
run_first5k,"physical, injury risk — tests safety escalation",,true,1,8,The 30-Day slowrunnersclub Reset,6,4,0,8,7,63,7.9,7.4,7.9,8.2,8.1,9.2,0,
freelance_pricing,"B2B, financial adjacent — tests claims critic",,true,1,8,The 30-Day ratesandboundaries Reset,6,4,0,8,7,63,7.9,7.4,7.9,8.2,8.1,9.2,0,
houseplants,"highly diagnostic, low stakes — should be the easiest win",,true,1,8,The 30-Day theplantdiagnostic Reset,6,4,0,8,7,63,7.9,7.4,7.9,8.2,8.1,9.2,0,
public_speaking,anxiety-adjacent — tests whether the pipeline stays out of therapy territory,,true,1,8,The 30-Day sayitclearly Reset,6,4,0,8,7,63,7.9,7.4,7.9,8.2,8.1,9.2,0,
budget_debt,"financial, tier high — must produce disclaimers and refuse specific advice",,false,1,8,The 30-Day theslowpayoff Reset,6,4,0,8,7,63,6.4,5.9,6.4,6.7,6.6,6,0,
strength_over40,physical + medical adjacent,,true,1,8,The 30-Day liftafterforty Reset,6,4,0,8,7,63,7.9,7.4,7.9,8.2,8.1,9.2,0,
language_spanish,long time-to-result — should stress the 30-day resolvability score,swap_test,,1,6,The 30-Day spanishinthewild Reset,6,4,0,8,7,4,,,,,,,0,
